Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-3,65505828007597E-18","-1,25967581376372E-18","0,0233708721378837",0,0,0,"0,105065840403053","5,78768576454175E-05","-2,67282735431197E-20","1,42368832626603E-20","7,15606076454175E-05","-7,07184791932616E-21","4,24127212818137E-05",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/base_link.STL,,unterarm_vereinfacht-1,base_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tilt_link,"-1,2611827149659E-09","0,000729333408527516","-1,67068859472699E-08",0,0,0,"5,81511393174933E-05","2,15507056704182E-10","-1,50796515624021E-17","-1,4809915873036E-16","2,92251447670839E-10","-5,60339409363763E-16","1,68436213445765E-10",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/tilt_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/tilt_link.STL,,NewAxisPin-1,tilt_system,,tilt_joint,revolute,0,0,"0,17","-1,5708",0,"1,5708",base_link,0,0,1,0,0,0,0,,,,,,,,
palm_link,"0,000139326328077952","-0,00434025244347531","0,0576803757518283",0,0,0,"0,0756090808311836","0,000157928803823983","7,04083460069003E-08","-1,47049681090686E-06","0,000112186068848503","4,46776822924556E-06","4,91298231449849E-05",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/palm_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/palm_link.STL,,Hand-1/Teil1_Handflaeche_unten-1;Hand-1/Teil1_Handflaeche_3-1;Hand-1/Stopfer-2;Hand-1/Stopfer-3;Hand-1/Stopfer-1,palm_system,,palm_joint,revolute,0,"0,002",0,"1,5708",0,0,tilt_link,0,0,1,0,0,0,0,,,,,,,,
pinky_link,"0,0017820549626689","-0,000613293176593584","0,0163336690443128",0,0,0,"0,00284841498918293","2,89069230553783E-07","2,3095315046196E-09","-1,78553709803134E-08","2,99964229192158E-07","2,91987211416313E-08","1,49822130412642E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/pinky_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/pinky_link.STL,,Hand-1/Kleiner_Finger_1-1,pinky_system,,pinky_joint,revolute,"0,00053238","-0,04071","0,11076",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
pinky_mimic_link,"0,00110870368695977","0,0045741664628078","0,014620949580515",0,0,0,"0,00562690946535167","7,1015499908551E-07","-9,17470173546304E-09","-3,71039587593776E-08","6,30896230770737E-07","-1,56604745729017E-07","2,3029578674309E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/pinky_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/pinky_mimic_link.STL,,Hand-1/Kleiner_Finger_2-1,pinky_mimic_system,,pinky_mimic_joint,revolute,"0,0034275","0,00025066","0,032821",0,0,0,pinky_link,1,0,0,0,0,0,0,,,,,,,,
ring_link,"0,00142294173005141","-0,00129072154615238","0,0203579955343289",0,0,0,"0,00382261211395925","5,52021987011609E-07","5,14714557280243E-09","-2,55389597661836E-08","5,69468033035357E-07","7,35455548546191E-08","1,87705913426683E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/ring_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/ring_link.STL,,Hand-1/Ringfinger_1-1,ring_system,,ring_joint,revolute,"0,00016823","-0,01558","0,11786",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
ring_mimic_link,"0,00114593140082822","0,00971703595716849","0,0156976573424628",0,0,0,"0,00635546532886249","9,81246420400804E-07","-2,51179161517114E-08","-3,63935787151237E-08","6,86069712230539E-07","-3,59092616871999E-07","4,65691997283679E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/ring_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/ring_mimic_link.STL,,Hand-1/Ringfinger_2-1,ring_mimic_system,,ring_mimic_joint,revolute,"0,00286",0,"0,0409",0,0,0,ring_link,1,0,0,0,0,0,0,,,,,,,,
middle_link,"0,000405615187407336","-0,00143109938804946","0,0232048672034128",0,0,0,"0,00435101489045583","7,37234099995634E-07","1,59808191484657E-09","-9,37016835548716E-09","7,60393827066509E-07","9,11626916011677E-08","2,06162513534503E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/middle_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/middle_link.STL,,Hand-1/Mittelfinger_1-1,middle_system,,middle_joint,revolute,"0,00016823","0,0072093","0,11765",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
middle_mimic_link,"0,000345295830106925","0,0127273363551072","0,0170120766603321",0,0,0,"0,00710270866127903","1,29588990900115E-06","-9,12339135111873E-09","-1,0789157628165E-08","7,97173801636548E-07","-5,20228611199526E-07","6,8815050024616E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/middle_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/middle_mimic_link.STL,,Hand-1/Mittelfinger_2-1,middle_mimic_system,,middle_mimic_joint,revolute,"0,00080281",0,"0,045993",0,0,0,middle_link,1,0,0,0,0,0,0,,,,,,,,
pointer_link,"-4,46665278444613E-08","-0,00145978404501389","0,0231866899386782",0,0,0,"0,00430054577129327","7,2680915639404E-07","-5,76457316669875E-12","-3,33068283083741E-12","7,51246448794749E-07","8,87861916234815E-08","2,02703110164289E-07",0,0,0,0,0,0,package://AZARM.SLDASM/meshes/pointer_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://AZARM.SLDASM/meshes/pointer_link.STL,,Hand-1/Zeigefinger_1-1,pointer_system,,pointer_joint,revolute,"0,00016729","0,028465","0,1131",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
